,RMSE,R2,MAE
LinearRegression,14439.81929021869,0.7541158536768331,11220.592326787308
RandomForest,11492.574274372026,0.8442451245162208,6813.226417120181
GradientBoosting,11035.469740556828,0.8563886846131654,7058.141498762319
SVR,30969.794501503482,-0.13105483037395693,23896.171693474884
